         (1.11022302462515654E-014,0.0000000000000000)           1   0.0000000000000000        1.1102230246251565E-014   0.0000000000000000     
   (2.66453525910037570E-015,3.50691697903471322E-014)           2  0.12500000000000000        2.6645352591003757E-015   3.5069169790347132E-014
   (1.37667655053519411E-014,2.70061750740069328E-014)           3  0.25000000000000000        1.3766765505351941E-014   2.7006175074006933E-014
  (6.79456491070595803E-014,-1.07136521876327606E-014)           4  0.37500000000000000        6.7945649107059580E-014  -1.0713652187632761E-014
   (7.37188088351103943E-014,1.55431223447521916E-014)           5  0.50000000000000000        7.3718808835110394E-014   1.5543122344752192E-014
   (2.13162820728030056E-014,8.04911692853238492E-015)           6  0.62500000000000000        2.1316282072803006E-014   8.0491169285323849E-015
 (-1.22124532708767219E-014,-5.26800825184636778E-014)           7  0.75000000000000000       -1.2212453270876722E-014  -5.2680082518463678E-014
   (7.32747196252603317E-015,1.20126131264441938E-013)           8  0.87500000000000000        7.3274719625260332E-015   1.2012613126444194E-013
   (8.74855743404623354E-014,6.05071548420710315E-014)           9   1.0000000000000000        8.7485574340462335E-014   6.0507154842071031E-014
  (4.15223411209808546E-014,-5.81756864903582027E-014)          10   1.1250000000000000        4.1522341120980855E-014  -5.8175686490358203E-014
         (1.75415237890774733E-014,199.99999999999997)          11   1.2500000000000000        1.7541523789077473E-014   199.99999999999997     
  (5.70654634657330462E-014,-2.36255459640233312E-013)          12   1.3750000000000000        5.7065463465733046E-014  -2.3625545964023331E-013
  (-1.37667655053519411E-013,1.67754699020861153E-013)          13   1.5000000000000000       -1.3766765505351941E-013   1.6775469902086115E-013
  (4.50750547997813555E-014,-5.88418203051332966E-015)          14   1.6250000000000000        4.5075054799781356E-014  -5.8841820305133297E-015
  (1.10356168647740560E-013,-9.28146448586630868E-014)          15   1.7500000000000000        1.1035616864774056E-013  -9.2814644858663087E-014
  (7.64055485547032731E-013,-1.83186799063150829E-014)          16   1.8750000000000000        7.6405548554703273E-013  -1.8318679906315083E-014
        (299.99999999999994,-1.43662859386495256E-012)          17   2.0000000000000000        299.99999999999994       -1.4366285938649526E-012
  (1.67643676718398638E-013,-8.43769498715118971E-014)          18   2.1250000000000000        1.6764367671839864E-013  -8.4376949871511897E-014
  (-1.03250741290139558E-013,5.97299987248334219E-014)          19   2.2500000000000000       -1.0325074129013956E-013   5.9729998724833422E-014
 (-3.04201108747292892E-013,-2.66453525910037570E-014)          20   2.3750000000000000       -3.0420110874729289E-013  -2.6645352591003757E-014
  (-2.14495088357580244E-013,7.03881397612349247E-014)          21   2.5000000000000000       -2.1449508835758024E-013   7.0388139761234925E-014
 (-3.46833672892898903E-013,-2.65121258280487382E-013)          22   2.6250000000000000       -3.4683367289289890E-013  -2.6512125828048738E-013
  (-3.03312930327592767E-013,1.45217171620970475E-013)          23   2.7500000000000000       -3.0331293032759277E-013   1.4521717162097048E-013
 (-9.43689570931383059E-014,-4.30766533554560738E-014)          24   2.8750000000000000       -9.4368957093138306E-014  -4.3076653355456074E-014
  (-3.63931107472126314E-013,6.06181771445335471E-014)          25   3.0000000000000000       -3.6393110747212631E-013   6.0618177144533547E-014
  (-1.63646873829748074E-013,1.84741111297626048E-013)          26   3.1250000000000000       -1.6364687382974807E-013   1.8474111129762605E-013
   (2.68673971959287883E-014,1.42108547152020037E-014)          27   3.2500000000000000        2.6867397195928788E-014   1.4210854715202004E-014
  (3.19744231092045084E-014,-1.81188397618825547E-013)          28   3.3750000000000000        3.1974423109204508E-014  -1.8118839761882555E-013
   (2.06279437975354085E-013,2.05169214950728929E-013)          29   3.5000000000000000        2.0627943797535409E-013   2.0516921495072893E-013
  (-1.50768286744096258E-013,3.11084491499968863E-013)          30   3.6250000000000000       -1.5076828674409626E-013   3.1108449149996886E-013
 (-3.66373598126301658E-013,-3.70814490224802285E-014)          31   3.7500000000000000       -3.6637359812630166E-013  -3.7081449022480228E-014
  (-3.72812891669127566E-013,3.10862446895043831E-014)          32   3.8750000000000000       -3.7281289166912757E-013   3.1086244689504383E-014
   (1.60094160150947573E-013,5.88418203051332966E-014)          33   4.0000000000000000        1.6009416015094757E-013   5.8841820305133297E-014
   (1.64757096854373231E-013,2.15383266777280369E-014)          34   4.1250000000000000        1.6475709685437323E-013   2.1538326677728037E-014
  (-1.29229960066368221E-013,7.46736006362880289E-013)          35   4.2500000000000000       -1.2922996006636822E-013   7.4673600636288029E-013
  (-2.68118860446975305E-013,8.79296635503123980E-014)          36   4.3750000000000000       -2.6811886044697530E-013   8.7929663550312398E-014
  (2.58681964737661474E-014,-2.48245868306185002E-013)          37   4.5000000000000000        2.5868196473766147E-014  -2.4824586830618500E-013
  (-1.34114941374718910E-013,1.46327394645595632E-013)          38   4.6250000000000000       -1.3411494137471891E-013   1.4632739464559563E-013
  (-4.27435864480685268E-014,1.91624494050302019E-013)          39   4.7500000000000000       -4.2743586448068527E-014   1.9162449405030202E-013
  (-1.45994327738208085E-013,1.90958360235526925E-014)          40   4.8750000000000000       -1.4599432773820809E-013   1.9095836023552692E-014
