               (1.9540850025093417,0.0000000000000000)           1   0.0000000000000000        1.9540850025093417        0.0000000000000000        3.8184481970319339     
        (1.9670490688560192,-8.66740561893697137E-002)           2   15.000000000000000        1.9670490688560192       -8.6674056189369714E-002   3.8767944313036500     
             (2.0102550202287723,-0.17519599808864292)           3   30.000000000000000        2.0102550202287723      -0.17519599808864292        4.0718188841012575     
             (2.1041702326995693,-0.26876252774368087)           4   45.000000000000000        2.1041702326995693      -0.26876252774368087        4.4997656644981321     
             (2.3533601494794754,-0.37914611402744175)           5   60.000000000000000        2.3533601494794754      -0.37914611402744175        5.6820557689401685     
              (19.417361583948427,-2.2229478424325717)           6   75.000000000000000        19.417361583948427       -2.2229478424325717        381.97542799197180     
             (1.6088093979969356,-0.47882870189890098)           7   90.000000000000000        1.6088093979969356      -0.47882870189890098        2.8175446048454487     
             (1.9387483497166840,-0.60729163756808135)           8   105.00000000000000        1.9387483497166840      -0.60729163756808135        4.1275482965892873     
             (2.1500654539897854,-0.73054674692563049)           9   120.00000000000000        2.1500654539897854      -0.73054674692563049        5.1564800058839237     
             (2.3723020515122228,-0.86540614926713488)          10   135.00000000000000        2.3723020515122228      -0.86540614926713488        6.3767448267984719     
              (2.6532248317853768,-1.0226505582957937)          11   150.00000000000000        2.6532248317853768       -1.0226505582957937        8.0854161723852389     
              (3.0498299704000238,-1.2192874906430180)          12   165.00000000000000        3.0498299704000238       -1.2192874906430180        10.788124833188759     
              (3.6784416993875406,-1.4921747992660246)          13   180.00000000000000        3.6784416993875406       -1.4921747992660246        15.757518967357697     
              (4.8699018436058825,-1.9468240102918644)          14   195.00000000000000        4.8699018436058825       -1.9468240102918644        27.506067693404869     
              (8.1731883260552305,-3.0763672539506310)          15   210.00000000000000        8.1731883260552305       -3.0763672539506310        76.265042894345257     
              (97.159517878995047,-31.453430499724742)          16   225.00000000000000        97.159517878995047       -31.453430499724742        10429.290204679772     
              (-6.1174546268131866,1.2943390256267717)          17   240.00000000000000       -6.1174546268131866        1.2943390256267717        39.098564624378525     
            (-1.9264712885341124,-0.13537303294985506)          18   255.00000000000000       -1.9264712885341124      -0.13537303294985506        3.7296174835963258     
           (-0.46307257909031363,-0.70871220707272709)          19   270.00000000000000      -0.46307257909031363      -0.70871220707272709       0.71670920595925081     
             (0.40916583653332389,-1.1099725151891069)          20   285.00000000000000       0.40916583653332389       -1.1099725151891069        1.3994556662612470     
              (1.1226914651773365,-1.4854393457598301)          21   300.00000000000000        1.1226914651773365       -1.4854393457598301        3.4669661759134263     
              (1.8754173318926544,-1.9151467802564597)          22   315.00000000000000        1.8754173318926544       -1.9151467802564597        7.1849773586900465     
              (2.8784574188653691,-2.5049042895917384)          23   330.00000000000000        2.8784574188653691       -2.5049042895917384        14.560062612236173     
              (4.6095332521510715,-3.5175263003604789)          24   345.00000000000000        4.6095332521510715       -3.5175263003604789        33.620788076414115     
              (9.1345408700633843,-6.1136346357231153)          25   360.00000000000000        9.1345408700633843       -6.1136346357231153        120.81636536597165     
              (83.799401129729333,-48.234281365487682)          26   375.00000000000000        83.799401129729333       -48.234281365487682        9348.8855285463142     
              (-12.096981909082748,5.7327853415207422)          27   390.00000000000000       -12.096981909082748        5.7327853415207422        179.20179908063039     
              (-5.5750534215352046,1.9906217264166741)          28   405.00000000000000       -5.5750534215352046        1.9906217264166741        35.043795510653496     
             (-3.5288801406817978,0.76316974634881707)          29   420.00000000000000       -3.5288801406817978       0.76316974634881707        13.035423109040503     
        (-2.4865700200907708,9.33359128258568899E-002)          30   435.00000000000000       -2.4865700200907708        9.3335912825856890E-002   6.1917420574372519     
            (-1.8183771265779167,-0.37574046076328532)          31   450.00000000000000       -1.8183771265779167      -0.37574046076328532        3.4476762683163669     
            (-1.3121455956409378,-0.76769055838370504)          32   465.00000000000000       -1.3121455956409378      -0.76769055838370504        2.3110748575913962     
            (-0.85569571618673534,-1.1548232198583761)          33   480.00000000000000      -0.85569571618673534       -1.1548232198583761        2.0658318278243972     
            (-0.32755212872637424,-1.6308470032909554)          34   495.00000000000000      -0.32755212872637424       -1.6308470032909554        2.7669523451762688     
             (0.64579620446725039,-2.5156700409362971)          35   510.00000000000000       0.64579620446725039       -2.5156700409362971        6.7456484925687370     
              (10.385949291979092,-11.079431516619096)          36   525.00000000000000        10.385949291979092       -11.079431516619096        230.62174542701351     
             (-3.1088679147155371,0.65145020187116387)          37   540.00000000000000       -3.1088679147155371       0.65145020187116387        10.089447076665712     
            (-1.6458768335720106,-0.70574405820972685)          38   555.00000000000000       -1.6458768335720106      -0.70574405820972685        3.2069852269873627     
             (-1.1171918909301002,-1.2607555311408853)          39   570.00000000000000       -1.1171918909301002       -1.2607555311408853        2.8376222304623084     
            (-0.78408875466919625,-1.6610965199165160)          40   585.00000000000000      -0.78408875466919625       -1.6610965199165160        3.3740368236774514     
            (-0.51173887545679564,-2.0282566830366933)          41   600.00000000000000      -0.51173887545679564       -2.0282566830366933        4.3757018489367949     
            (-0.24482580697816747,-2.4176536773427175)          42   615.00000000000000      -0.24482580697816747       -2.4176536773427175        5.9049889793312760     
        (6.57607482810020905E-002,-2.8873484754638206)          43   630.00000000000000        6.5760748281002090E-002  -2.8873484754638206        8.3411056947777276     
             (0.51553005798925033,-3.5610842633118294)          44   645.00000000000000       0.51553005798925033       -3.5610842633118294        12.947092371097554     
              (1.4736688880493596,-4.9269571287701988)          45   660.00000000000000        1.4736688880493596       -4.9269571287701988        26.446606540344117     
              (9.7067515025067763,-15.938078894983684)          46   675.00000000000000        9.7067515025067763       -15.938078894983684        348.24338359414190     
             (-2.9602121039168234,0.67621990917632868)          47   690.00000000000000       -2.9602121039168234       0.67621990917632868        9.2201290657421087     
             (-1.1519356071630555,-1.8885100741195373)          48   705.00000000000000       -1.1519356071630555       -1.8885100741195373        4.8934259431010982     
            (-0.48995291124870566,-2.9744321158294404)          49   720.00000000000000      -0.48995291124870566       -2.9744321158294404        9.0873002669186853     
       (-1.94601349613642491E-002,-3.8586940179114317)          50   735.00000000000000       -1.9460134961364249E-002  -3.8586940179114317        14.889898220718182     
             (0.44219200303183054,-4.8074352608780648)          51   750.00000000000000       0.44219200303183054       -4.8074352608780648        23.306967555079051     
              (1.0002850147473272,-6.0068662793526917)          52   765.00000000000000        1.0002850147473272       -6.0068662793526917        37.083012608752512     
              (1.8029590453235889,-7.7560045748213904)          53   780.00000000000000        1.8029590453235889       -7.7560045748213904        63.406268283764483     
              (3.2135274420166415,-10.816879194937188)          54   795.00000000000000        3.2135274420166415       -10.816879194937188        127.33163413845901     
              (6.6969993986851160,-18.283492374707450)          55   810.00000000000000        6.6969993986851160       -18.283492374707450        379.13589436197429     
              (34.824631201205321,-77.849516625795616)          56   825.00000000000000        34.824631201205321       -77.849516625795616        7273.3021771699914     
              (-14.574326773616388,26.365451743061652)          57   840.00000000000000       -14.574326773616388        26.365451743061652        907.54804651986410     
              (-6.5518970809849337,9.2131337824532089)          58   855.00000000000000       -6.5518970809849337        9.2131337824532089        127.80918945319948     
              (-4.3402745006045231,4.2901992781388474)          59   870.00000000000000       -4.3402745006045231        4.2901992781388474        37.243792586740923     
              (-3.2355035978791022,1.6383057147228337)          60   885.00000000000000       -3.2355035978791022        1.6383057147228337        13.152529146782111     
            (-2.5015122696839573,-0.33148826008732057)          61   900.00000000000000       -2.5015122696839573      -0.33148826008732057        6.3674481019551035     
             (-1.8895955480237887,-2.2095776677647483)          62   915.00000000000000       -1.8895955480237887       -2.2095776677647483        8.4528048049960276     
             (-1.2417151482718924,-4.4726747296074958)          63   930.00000000000000       -1.2417151482718924       -4.4726747296074958        21.546675746317376     
            (-0.32488164007327702,-8.0007055960301763)          64   945.00000000000000      -0.32488164007327702       -8.0007055960301763        64.116838114405283     
              (1.6488623217909972,-16.012996312664338)          65   960.00000000000000        1.6488623217909972       -16.012996312664338        259.13479786562368     
              (14.825339416462137,-70.524488706528302)          66   975.00000000000000        14.825339416462137       -70.524488706528302        5193.4941961305440     
              (-10.843243781573529,35.862115472028115)          67   990.00000000000000       -10.843243781573529        35.862115472028115        1403.6672618357115     
              (-5.7534468132713084,14.740937398074701)          68   1005.0000000000000       -5.7534468132713084        14.740937398074701        250.39738560709910     
              (-4.4386604187119705,9.2108649492367132)          69   1020.0000000000000       -4.4386604187119705        9.2108649492367132        104.54173942571776     
              (-3.8250623042402125,6.5339483884040686)          70   1035.0000000000000       -3.8250623042402125        6.5339483884040686        57.323583173647570     
