               (42.200000412427990,0.0000000000000000)           1   0.0000000000000000        42.200000412427990        0.0000000000000000     
              (43.554757053859092,-2.4712223133856566)           2  0.12500000000000000        43.554757053859092       -2.4712223133856566     
              (48.213220786935644,-5.4830280022742235)           3  0.25000000000000000        48.213220786935644       -5.4830280022742235     
              (58.755191926096060,-10.059527064498411)           4  0.37500000000000000        58.755191926096060       -10.059527064498411     
              (85.044261151866763,-19.514025849690569)           5  0.50000000000000000        85.044261151866763       -19.514025849690569     
              (203.87664176468158,-58.866640819705331)           6  0.62500000000000000        203.87664176468158       -58.866640819705331     
              (-276.91668769154995,96.737742584329212)           7  0.75000000000000000       -276.91668769154995        96.737742584329212     
              (-72.051843265409119,29.654883804421239)           8  0.87500000000000000       -72.051843265409119        29.654883804421239     
              (-38.448514680847730,18.293556349814558)           9   1.0000000000000000       -38.448514680847730        18.293556349814558     
              (-24.915177214691475,13.513182828265297)          10   1.1250000000000000       -24.915177214691475        13.513182828265297     
              (-17.722686963697594,10.841388163957118)          11   1.2500000000000000       -17.722686963697594        10.841388163957118     
              (-13.320484656036344,9.1157922340683033)          12   1.3750000000000000       -13.320484656036344        9.1157922340683033     
              (-10.382455442690205,7.8987654541002668)          13   1.5000000000000000       -10.382455442690205        7.8987654541002668     
              (-8.3026832871586471,6.9881362193923877)          14   1.6250000000000000       -8.3026832871586471        6.9881362193923877     
              (-6.7660016157905325,6.2772841470861120)          15   1.7500000000000000       -6.7660016157905325        6.2772841470861120     
              (-5.5928582762997463,5.7044712666029751)          16   1.8750000000000000       -5.5928582762997463        5.7044712666029751     
               (195.32619773553731,5.2313659707639451)          17   2.0000000000000000        195.32619773553731        5.2313659707639451     
              (-3.9385271797789998,4.8328454373716339)          18   2.1250000000000000       -3.9385271797789998        4.8328454373716339     
              (-3.3399428387776542,4.4917163817383496)          19   2.2500000000000000       -3.3399428387776542        4.4917163817383496     
              (-2.8454115647003939,4.1957890708984777)          20   2.3750000000000000       -2.8454115647003939        4.1957890708984777     
              (-2.4316580391862059,3.9361633449863715)          21   2.5000000000000000       -2.4316580391862059        3.9361633449863715     
              (-2.0816774975842645,3.7061774936773655)          22   2.6250000000000000       -2.0816774975842645        3.7061774936773655     
              (-1.7827857037403134,3.5007382355549446)          23   2.7500000000000000       -1.7827857037403134        3.5007382355549446     
              (-1.5253489151596462,3.3158792800017234)          24   2.8750000000000000       -1.5253489151596462        3.3158792800017234     
              (-1.3019334541202472,3.1484620607864806)          25   3.0000000000000000       -1.3019334541202472        3.1484620607864806     
              (-1.1067222950116300,2.9959677274611689)          26   3.1250000000000000       -1.1067222950116300        2.9959677274611689     
             (-0.93510620268773292,2.8563493542080001)          27   3.2500000000000000      -0.93510620268773292        2.8563493542080001     
             (-0.78339172003121760,2.7279248656238764)          28   3.3750000000000000      -0.78339172003121760        2.7279248656238764     
             (-0.64858904848518772,2.6092980986469332)          29   3.5000000000000000      -0.64858904848518772        2.6092980986469332     
             (-0.52825559750196849,2.4992996892424246)          30   3.6250000000000000      -0.52825559750196849        2.4992996892424246     
             (-0.42037899108357563,2.3969421748086144)          31   3.7500000000000000      -0.42037899108357563        2.3969421748086144     
             (-0.32328847634579866,2.3013854533936660)          32   3.8750000000000000      -0.32328847634579866        2.3013854533936660     
             (-0.23558706610151151,2.2119098981830612)          33   4.0000000000000000      -0.23558706610151151        2.2119098981830612     
             (-0.15609901370838655,2.1278952055582181)          34   4.1250000000000000      -0.15609901370838655        2.1278952055582181     
        (-8.38287604370659550E-002,2.0488035897140273)          35   4.2500000000000000       -8.3828760437065955E-002   2.0488035897140273     
        (-1.79285612684404912E-002,1.9741663092824062)          36   4.3750000000000000       -1.7928561268440491E-002   1.9741663092824062     
         (4.23272580789766303E-002,1.9035727745806961)          37   4.5000000000000000        4.2327258078976630E-002   1.9035727745806961     
         (9.75629296022725440E-002,1.8366616726759204)          38   4.6250000000000000        9.7562929602272544E-002   1.8366616726759204     
              (0.14831789234642426,1.7731136841892721)          39   4.7500000000000000       0.14831789234642426        1.7731136841892721     
              (0.19506032076111990,1.7126454661038755)          40   4.8750000000000000       0.19506032076111990        1.7126454661038755     
              (0.23819818654277122,1.6550046492587878)          41   5.0000000000000000       0.23819818654277122        1.6550046492587878     
              (0.27808835727790321,1.5999656549289796)          42   5.1250000000000000       0.27808835727790321        1.5999656549289796     
              (0.31504412205330506,1.5473261770930098)          43   5.2500000000000000       0.31504412205330506        1.5473261770930098     
              (0.34934144870209705,1.4969042091153133)          44   5.3750000000000000       0.34934144870209705        1.4969042091153133     
              (0.38122421227116665,1.4485355183154904)          45   5.5000000000000000       0.38122421227116665        1.4485355183154904     
              (0.41090858437317945,1.4020714910848213)          46   5.6250000000000000       0.41090858437317945        1.4020714910848213     
              (0.43858673447190138,1.3573772861810005)          47   5.7500000000000000       0.43858673447190138        1.3573772861810005     
              (0.46442996411599202,1.3143302456232155)          48   5.8750000000000000       0.46442996411599202        1.3143302456232155     
              (0.48859137165352484,1.2728185218925219)          49   6.0000000000000000       0.48859137165352484        1.2728185218925219     
              (0.51120812637294233,1.2327398876400659)          50   6.1250000000000000       0.51120812637294233        1.2327398876400659     
              (0.53240341638239308,1.1940006999614639)          51   6.2500000000000000       0.53240341638239308        1.1940006999614639     
              (0.55228812279006068,1.1565149961826460)          52   6.3750000000000000       0.55228812279006068        1.1565149961826460     
              (0.57096226342034206,1.1202037019081752)          53   6.5000000000000000       0.57096226342034206        1.1202037019081752     
              (0.58851624169018291,1.0849939352867923)          54   6.6250000000000000       0.58851624169018291        1.0849939352867923     
              (0.60503193022347157,1.0508183940189708)          55   6.7500000000000000       0.60503193022347157        1.0508183940189708     
              (0.62058361377771876,1.0176148137628096)          56   6.8750000000000000       0.62058361377771876        1.0176148137628096     
             (0.63523881201488497,0.98532548830936184)          57   7.0000000000000000       0.63523881201488497       0.98532548830936184     
             (0.64905899932633659,0.95389684344556636)          58   7.1250000000000000       0.64905899932633659       0.95389684344556636     
             (0.66210023620961300,0.92327905749825001)          59   7.2500000000000000       0.66210023620961300       0.92327905749825001     
             (0.67441372439431235,0.89342572266814235)          60   7.3750000000000000       0.67441372439431235       0.89342572266814235     
             (0.68604629606563272,0.86429354209717324)          61   7.5000000000000000       0.68604629606563272       0.86429354209717324     
             (0.69704084599578287,0.83584205824753444)          62   7.6250000000000000       0.69704084599578287       0.83584205824753444     
             (0.70743671404933572,0.80803340886379271)          63   7.7500000000000000       0.70743671404933572       0.80803340886379271     
             (0.71727002445991372,0.78083210725803354)          64   7.8750000000000000       0.71727002445991372       0.78083210725803354     
             (0.72657398737393419,0.75420484408881494)          65   8.0000000000000000       0.72657398737393419       0.75420484408881494     
             (0.73537916734640330,0.72812030815719075)          66   8.1250000000000000       0.73537916734640330       0.72812030815719075     
             (0.74371372286269488,0.70254902413153697)          67   8.2500000000000000       0.74371372286269488       0.70254902413153697     
             (0.75160362037260109,0.67746320527603743)          68   8.3750000000000000       0.75160362037260109       0.67746320527603743     
             (0.75907282586418323,0.65283661957243677)          69   8.5000000000000000       0.75907282586418323       0.65283661957243677     
             (0.76614347661932791,0.62864446780532179)          70   8.6250000000000000       0.76614347661932791       0.62864446780532179     
             (0.77283603542117640,0.60486327230676806)          71   8.7500000000000000       0.77283603542117640       0.60486327230676806     
             (0.77916942919055088,0.58147077529548485)          72   8.8750000000000000       0.77916942919055088       0.58147077529548485     
             (0.78516117382144368,0.55844584578219614)          73   9.0000000000000000       0.78516117382144368       0.55844584578219614     
             (0.79082748670516845,0.53576839418362021)          74   9.1250000000000000       0.79082748670516845       0.53576839418362021     
             (0.79618338828041435,0.51341929387812357)          75   9.2500000000000000       0.79618338828041435       0.51341929387812357     
             (0.80124279377596541,0.49138030899280982)          76   9.3750000000000000       0.80124279377596541       0.49138030899280982     
             (0.80601859618872673,0.46963402782176467)          77   9.5000000000000000       0.80601859618872673       0.46963402782176467     
             (0.81052274137318914,0.44816380133244854)          78   9.6250000000000000       0.81052274137318914       0.44816380133244854     
             (0.81476629605583339,0.42695368623715324)          79   9.7500000000000000       0.81476629605583339       0.42695368623715324     
             (0.81875950948813636,0.40598839223922834)          80   9.8750000000000000       0.81875950948813636       0.40598839223922834     
             (0.82251186933850806,0.38525323300938996)          81   10.000000000000000       0.82251186933850806       0.38525323300938996     
             (0.82603215238872607,0.36473408056340673)          82   10.125000000000000       0.82603215238872607       0.36473408056340673     
             (0.82932847052563419,0.34441732271966097)          83   10.250000000000000       0.82932847052563419       0.34441732271966097     
             (0.83240831244762448,0.32428982332717277)          84   10.375000000000000       0.83240831244762448       0.32428982332717277     
             (0.83527858148758594,0.30433888502487266)          85   10.500000000000000       0.83527858148758594       0.30433888502487266     
             (0.83794562987346144,0.28455221426248434)          86   10.625000000000000       0.83794562987346144       0.28455221426248434     
             (0.84041528976662505,0.26491788841235037)          87   10.750000000000000       0.84041528976662505       0.26491788841235037     
             (0.84269290128435825,0.24542432470746747)          88   10.875000000000000       0.84269290128435825       0.24542432470746747     
             (0.84478333783149040,0.22606025088865184)          89   11.000000000000000       0.84478333783149040       0.22606025088865184     
             (0.84669102885225400,0.20681467734590048)          90   11.125000000000000       0.84669102885225400       0.20681467734590048     
             (0.84841998028684540,0.18767687062749344)          91   11.250000000000000       0.84841998028684540       0.18767687062749344     
             (0.84997379284183294,0.16863632815009022)          92   11.375000000000000       0.84997379284183294       0.16863632815009022     
             (0.85135567821053360,0.14968275401066020)          93   11.500000000000000       0.85135567821053360       0.14968275401066020     
             (0.85256847343730580,0.13080603573368971)          94   11.625000000000000       0.85256847343730580       0.13080603573368971     
             (0.85361465345000453,0.11199622187394040)          95   11.750000000000000       0.85361465345000453       0.11199622187394040     
        (0.85449634194103119,9.32435003496834836E-002)          96   11.875000000000000       0.85449634194103119        9.3243500349683484E-002
        (0.85521532060984107,7.45381773937380809E-002)          97   12.000000000000000       0.85521532060984107        7.4538177393738081E-002
        (0.85577303688565831,5.58706570497933402E-002)          98   12.125000000000000       0.85577303688565831        5.5870657049793340E-002
        (0.85617061016447582,3.72314210958867020E-002)          99   12.250000000000000       0.85617061016447582        3.7231421095886702E-002
        (0.85640883661419609,1.86110093113800723E-002)         100   12.375000000000000       0.85640883661419609        1.8611009311380072E-002
        (0.85648819257824271,1.90788959356873762E-013)         101   12.500000000000000       0.85648819257824271        1.9078895935687376E-013
       (0.85640883661290179,-1.86110093097491859E-002)         102   12.625000000000000       0.85640883661290179       -1.8611009309749186E-002
       (0.85617061016457141,-3.72314210966512640E-002)         103   12.750000000000000       0.85617061016457141       -3.7231421096651264E-002
       (0.85577303688548134,-5.58706570486512052E-002)         104   12.875000000000000       0.85577303688548134       -5.5870657048651205E-002
       (0.85521532060927141,-7.45381773930141045E-002)         105   13.000000000000000       0.85521532060927141       -7.4538177393014104E-002
       (0.85449634194154567,-9.32435003492677744E-002)         106   13.125000000000000       0.85449634194154567       -9.3243500349267774E-002
            (0.85361465345016485,-0.11199622187587085)         107   13.250000000000000       0.85361465345016485      -0.11199622187587085     
            (0.85256847343556275,-0.13080603573278038)         108   13.375000000000000       0.85256847343556275      -0.13080603573278038     
            (0.85135567821160174,-0.14968275400962744)         109   13.500000000000000       0.85135567821160174      -0.14968275400962744     
            (0.84997379284174812,-0.16863632815038540)         110   13.625000000000000       0.84997379284174812      -0.16863632815038540     
            (0.84841998028900378,-0.18767687062731514)         111   13.750000000000000       0.84841998028900378      -0.18767687062731514     
            (0.84669102885012659,-0.20681467734494616)         112   13.875000000000000       0.84669102885012659      -0.20681467734494616     
            (0.84478333783049941,-0.22606025088863854)         113   14.000000000000000       0.84478333783049941      -0.22606025088863854     
            (0.84269290128486474,-0.24542432470885703)         114   14.125000000000000       0.84269290128486474      -0.24542432470885703     
            (0.84041528976542612,-0.26491788841291330)         115   14.250000000000000       0.84041528976542612      -0.26491788841291330     
            (0.83794562987273580,-0.28455221426253141)         116   14.375000000000000       0.83794562987273580      -0.28455221426253141     
            (0.83527858148671508,-0.30433888502476414)         117   14.500000000000000       0.83527858148671508      -0.30433888502476414     
            (0.83240831245067770,-0.32428982332774808)         118   14.625000000000000       0.83240831245067770      -0.32428982332774808     
            (0.82932847052564462,-0.34441732272051928)         119   14.750000000000000       0.82932847052564462      -0.34441732272051928     
            (0.82603215238755689,-0.36473408056250273)         120   14.875000000000000       0.82603215238755689      -0.36473408056250273     
            (0.82251186933793097,-0.38525323300934683)         121   15.000000000000000       0.82251186933793097      -0.38525323300934683     
            (0.81875950948671472,-0.40598839224105421)         122   15.125000000000000       0.81875950948671472      -0.40598839224105421     
            (0.81476629605425221,-0.42695368623677510)         123   15.250000000000000       0.81476629605425221      -0.42695368623677510     
            (0.81052274137164837,-0.44816380133405709)         124   15.375000000000000       0.81052274137164837      -0.44816380133405709     
